NaN,NaN,-2,NaN,NaN,NaN
NaN,-1,-2,NaN,NaN,NaN
NaN,NaN,0,NaN,NaN,NaN
NaN,NaN,9.998,NaN,NaN,NaN
NaN,NaN,3.171,NaN,NaN,NaN
NaN,NaN,4.405,NaN,NaN,NaN
NaN,NaN,9.262,2.18,NaN,NaN
12.67,7.21,2.16,NaN,NaN,NaN
NaN,7.086,1.3,NaN,NaN,NaN
NaN,5.408,2.95,NaN,NaN,NaN
NaN,NaN,0.708,NaN,NaN,NaN
NaN,5.312,4.509,NaN,NaN,NaN
NaN,NaN,NaN,11.12,NaN,NaN
NaN,NaN,NaN,13,NaN,NaN
NaN,NaN,NaN,8,7,6
NaN,NaN,NaN,9.01,NaN,NaN
NaN,NaN,9.262,1.96,NaN,NaN
NaN,NaN,4.874,NaN,NaN,NaN
NaN,NaN,NaN,10.53,NaN,NaN
NaN,5.845,2.971,NaN,NaN,NaN
NaN,NaN,-2,NaN,NaN,NaN
NaN,NaN,NaN,8.5,NaN,NaN
NaN,4.228,1,NaN,NaN,NaN
NaN,NaN,NaN,5.18,NaN,NaN
NaN,NaN,2.49,NaN,NaN,NaN
NaN,NaN,NaN,13.5,13,NaN
NaN,NaN,NaN,13,NaN,NaN
NaN,NaN,2.432,NaN,NaN,NaN
NaN,NaN,3.107,NaN,NaN,NaN
NaN,NaN,NaN,8,7,6
NaN,NaN,NaN,6.9,5.9,4.9
NaN,5.38,4.53,NaN,NaN,NaN
NaN,NaN,NaN,10.6,NaN,NaN
NaN,2.05,0,NaN,NaN,NaN
NaN,8.45,2.62,NaN,NaN,NaN
NaN,NaN,0,NaN,NaN,NaN
NaN,NaN,9.302,2.17,NaN,NaN
NaN,NaN,NaN,11.7,NaN,NaN
NaN,NaN,NaN,13.7,NaN,NaN
NaN,NaN,4.77,NaN,NaN,NaN
NaN,NaN,NaN,13.7,13.2,NaN
NaN,5.403,4.517,NaN,NaN,NaN
NaN,5.638,4.207,NaN,NaN,NaN
NaN,NaN,12.51,NaN,NaN,NaN
NaN,NaN,3.227,NaN,NaN,NaN
NaN,1.921,-3,NaN,NaN,NaN
NaN,6.991,1.78,NaN,NaN,NaN
NaN,NaN,-2,NaN,NaN,NaN
NaN,NaN,8.3,NaN,NaN,NaN
NaN,4.366,3.036,NaN,NaN,NaN
NaN,4.735,2.366,NaN,NaN,NaN
NaN,NaN,9.182,1.5,NaN,NaN
NaN,NaN,NaN,8,7,6
NaN,4.46,3.54,NaN,NaN,NaN
NaN,NaN,NaN,10.6,NaN,NaN
NaN,NaN,NaN,8.29,NaN,NaN
NaN,NaN,NaN,14,NaN,NaN
NaN,NaN,NaN,14,NaN,NaN
NaN,NaN,NaN,10.75,9.216,NaN
NaN,NaN,NaN,14,NaN,NaN
NaN,NaN,NaN,13.2,NaN,NaN
NaN,NaN,3.337,NaN,NaN,NaN
NaN,NaN,0.848,NaN,NaN,NaN
NaN,NaN,2.585,NaN,NaN,NaN
NaN,NaN,3.545,NaN,NaN,NaN
NaN,1.72,0.6,NaN,NaN,NaN
NaN,NaN,9.2,2.15,NaN,NaN
NaN,NaN,NaN,8,7,6
NaN,NaN,1,NaN,NaN,NaN
NaN,NaN,NaN,11,NaN,NaN
NaN,NaN,0.635,NaN,NaN,NaN
NaN,NaN,0,NaN,NaN,NaN
NaN,NaN,2.347,NaN,NaN,NaN
NaN,NaN,8.15,NaN,NaN,NaN
NaN,NaN,NaN,11,10.8,NaN
NaN,NaN,NaN,10.86,NaN,NaN
NaN,NaN,NaN,14,NaN,NaN
NaN,NaN,NaN,14,NaN,NaN
NaN,NaN,NaN,14,NaN,NaN
NaN,NaN,0.6,NaN,NaN,NaN
NaN,NaN,NaN,10.41,NaN,NaN
NaN,NaN,NaN,7.95,NaN,NaN
2.05,0,0,NaN,NaN,NaN
NaN,NaN,5.037,NaN,NaN,NaN
